obs_index,burn_rate_daily,TTS_days,avg_delivery_delay,pct_late_deliveries,quality_incident_rate,supplier_risk_class,criticality_class,news_risk_score,disruption_event_flag,severity_score
160,0.6722433,1.5198326,-0.118352935,-0.22309639,0.0,0.21292436,0.0,0.0,0.0,0.0
161,0.6370926,1.4851251,0.10661691,0.48231316,0.0,0.22118796,0.0,0.0,0.0,0.0
162,0.72838724,1.4000518,0.14746912,0.09586445,0.0,0.21176909,0.0,0.0,0.0,0.0
163,0.7963288,1.6388383,-0.25592622,-0.006184264,0.0,0.25960737,0.0,0.0,0.0,0.0
164,0.8023237,1.6438544,-0.09742083,0.25472388,0.0,0.27962276,0.0,0.0,0.0,0.0
165,0.9492006,1.492789,-0.00035804266,0.043569293,0.0,0.24004199,0.0,0.0,0.0,0.0
166,0.99552584,1.4520152,0.11456318,-0.052403387,0.0,0.26293895,0.0,0.0,0.0,0.0
167,0.9107163,1.5819452,0.07437694,0.32556316,0.0,0.25135133,0.0,0.0,0.0,0.0
168,0.8472877,0.11409076,0.16943645,-0.046809077,0.0,0.2655196,0.0,0.0,0.0,0.0
169,0.8537706,0.3963161,-0.050728004,0.82186884,0.0,0.2818568,0.0,0.0,0.0,0.0
170,1.005361,0.67523456,-0.08318601,-0.24846973,0.0,0.25550488,0.0,0.0,0.0,0.0
171,0.93612796,-0.046565495,0.16317417,0.07807477,0.0,0.28890377,0.0,0.0,0.0,0.0
172,0.0696702,0.08536826,-0.34700885,-0.08051974,0.0,0.20347911,0.0,0.0,0.0,0.0
173,0.46360222,0.15193328,0.16151105,0.035371266,0.0,0.20766218,0.0,0.0,0.0,0.0
174,0.60904706,0.11923188,-0.0025796446,0.017321259,0.0,0.21403475,0.0,0.0,0.0,0.0
175,1.0088174,-0.015608571,0.052045945,-0.09165861,0.0,0.13104942,0.0,0.0,0.0,0.0
176,0.7993068,-0.20790224,-0.26580787,0.7391768,0.0,0.22278915,0.0,0.0,0.0,0.0
