event_id,publish_date,disruption_type,location_entities,severity_score,predicted_label,predicted_probability
316e10bb9c,2016-04-07,PORT_CONGESTION,VI,5,1,0.5965
f8bc578c4b,2016-04-08,PORT_CONGESTION,UNKNOWN,6,1,0.6372
f78c162f39,1460296806000,PORT_CONGESTION,VI,6,1,0.6835
7c9fcaaed5,1460380160000,PORT_CONGESTION,"US,GB",5,1,0.5829
0c314678ba,2016-04-11,PORT_CONGESTION,VI,7,1,0.7561
b1754a3623,1460455491000,PORT_CONGESTION,UNKNOWN,8,1,0.8866
9171ba35a1,2016-04-12,PORT_CONGESTION,"VI,CA,MX,JP",8,1,0.8628
b5ca98ddd6,2016-04-13,PORT_CONGESTION,VI,9,1,0.9021
7e509412d4,2016-04-15,PORT_CONGESTION,UNKNOWN,9,1,0.9108
791491bf4f,2016-04-15,PORT_CONGESTION,"AU,IN,ID,VI",8,1,0.8215
d63734b25a,1460972919000,PORT_CONGESTION,"HK,CN",8,1,0.8822
01c331058f,2016-04-18,PORT_CONGESTION,UNKNOWN,8,1,0.8513
43f43ba347,2016-04-18,PORT_CONGESTION,"VI,GH",9,1,0.9217
cbf86e9c31,1461075233000,PORT_CONGESTION,VI,6,1,0.6115
3bbb47118f,2016-04-21,PORT_CONGESTION,UNKNOWN,6,1,0.657
2cee9f03b0,1461328478000,PORT_CONGESTION,UNKNOWN,7,1,0.7999
eb60e09296,2016-04-25,PORT_CONGESTION,"JP,CA",7,1,0.7808
5691ca5df3,1461764313000,PORT_CONGESTION,"VI,US",5,1,0.5527
c4ad70e9a6,2016-04-29,PORT_CONGESTION,VI,7,1,0.7774
a658caab4e,2016-04-29,PORT_CONGESTION,UNKNOWN,6,1,0.6173
292c36e773,1462207318000,LABOR_STRIKE,CN,6,1,0.6948
f59878cfef,2016-05-02,PORT_CONGESTION,"US,GH",9,2,0.4934
e64b7946fb,2016-05-03,PORT_CONGESTION,"AU,VI",6,1,0.6828
cdc2458e9d,1462381134000,PORT_CONGESTION,UNKNOWN,8,1,0.8189
62ad14128c,2016-05-05,PORT_CONGESTION,"AU,BR,CN",8,1,0.8617
07b9071a42,2016-05-09,PORT_CONGESTION,CN,5,1,0.5169
42f9be6cb3,2016-05-10,PORT_CONGESTION,UNKNOWN,7,1,0.7658
dcbc2c421f,1462980273000,GEOPOLITICAL,UNKNOWN,7,1,0.5149
f14fa1d4c0,2016-05-11,PORT_CONGESTION,VI,8,1,0.8529
987123c22a,2016-05-11,PORT_CONGESTION,"FR,IN,BR",6,1,0.6417
f38487961c,2016-05-12,PORT_CONGESTION,CN,7,1,0.7228
9738d7f067,2016-05-12,PORT_CONGESTION,UNKNOWN,8,1,0.8606
bc1ca52559,2016-05-13,PORT_CONGESTION,"VI,IR",6,1,0.6716
0f1379908c,1463491139000,PORT_CONGESTION,"CN,IN,ID",7,1,0.7341
a2d104472a,1463513529000,PORT_CONGESTION,"US,VI",9,1,0.9013
17839434c4,1463611545000,PORT_CONGESTION,VI,6,1,0.6393
da459c2eee,2016-05-19,PORT_CONGESTION,"VI,US,CL,MX,BR",6,1,0.6289
f73f216adb,2016-05-23,PORT_CONGESTION,VI,5,1,0.5954
ed1f93f033,2016-05-23,PORT_CONGESTION,UNKNOWN,5,1,0.5253
3df1ce0d00,2016-05-24,PORT_CONGESTION,UNKNOWN,8,1,0.8628
af4d5691ef,2016-05-25,PORT_CONGESTION,UNKNOWN,8,1,0.894
70c1194ce1,2016-05-31,PORT_CONGESTION,"CN,VI",9,1,0.9173
599227d0d5,2016-05-31,PORT_CONGESTION,UNKNOWN,5,1,0.5953
f0c2f39710,2016-06-02,PORT_CONGESTION,UNKNOWN,5,1,0.5347
48c134eef6,1464905072000,PORT_CONGESTION,VI,9,1,0.9033
737125cda2,1464902943000,PORT_CONGESTION,UNKNOWN,7,1,0.7895
ea85d94dd6,2016-06-06,PORT_CONGESTION,UNKNOWN,5,1,0.5586
6e618e995c,2016-06-06,PORT_CONGESTION,VI,8,1,0.8641
8cab09b4e5,2016-06-07,PORT_CONGESTION,UNKNOWN,7,1,0.7632
b5a1d04211,2016-06-09,GENERAL_DISRUPTION,UNKNOWN,6,1,0.6753
1dab858027,2016-06-10,PORT_CONGESTION,"VI,US,GH",6,1,0.6473
3fb77aebed,2016-06-13,PORT_CONGESTION,UNKNOWN,8,1,0.8567
5426c1b350,2016-06-13,GENERAL_DISRUPTION,UNKNOWN,5,1,0.5329
4a21db60ad,2016-06-13,PORT_CONGESTION,UNKNOWN,9,1,0.9062
6657dc05af,1465907990000,PORT_CONGESTION,BE,8,1,0.867
6a708b892b,2016-06-15,GEOPOLITICAL,"CN,JP",9,1,0.7537
ce1d07b820,2016-06-16,PORT_CONGESTION,UNKNOWN,7,1,0.7735
975eb22dcc,1466114632000,PORT_CONGESTION,VI,9,1,0.9072
c9203a6cbd,2016-06-17,PORT_CONGESTION,"CN,PA,BR,CA",6,1,0.663
4bdf7711b9,1466524841000,PORT_CONGESTION,UNKNOWN,9,1,0.9209
096f4626b1,1466448396000,PORT_CONGESTION,UNKNOWN,8,1,0.8977
769a30d02a,2016-06-21,LABOR_STRIKE,"VI,GB,AS",6,1,0.6598
deebdef379,2016-06-22,PORT_CONGESTION,GB,8,1,0.8299
80d483f3a9,2016-06-24,PORT_CONGESTION,UNKNOWN,9,1,0.9256
297f43dc31,2016-06-27,PORT_CONGESTION,VI,8,1,0.8678
e62839e9ba,2016-06-27,PORT_CONGESTION,UNKNOWN,6,1,0.6678
4bbad7b49f,1467152544000,PORT_CONGESTION,UNKNOWN,5,1,0.5522
806a2a27f6,1467142527000,PORT_CONGESTION,US,8,1,0.815
294243b95c,1467870920000,PORT_CONGESTION,"VI,CN,HK",5,1,0.5663
ace89e37ff,2016-07-07,PORT_CONGESTION,VI,9,1,0.9183
517f6303af,2016-07-11,PORT_CONGESTION,UNKNOWN,7,1,0.7613
7f5ccf86bc,1468441407000,PORT_CONGESTION,US,5,1,0.5028
6a95fa15e3,2016-07-14,PORT_CONGESTION,"VI,US,GH",8,1,0.8327
6d1d1dd3c9,1468591734000,PORT_CONGESTION,"MA,MY",5,1,0.5134
526093c804,2016-07-15,GEOPOLITICAL,UNKNOWN,7,1,0.5828
56a5b2e986,2016-07-19,PORT_CONGESTION,"FR,BE",5,1,0.5888
49e82e0a96,1469030736000,PORT_CONGESTION,UNKNOWN,6,1,0.6992
9274c41793,1468957669000,PORT_CONGESTION,UNKNOWN,7,1,0.7998
72b64fba27,2016-07-21,PORT_CONGESTION,VI,6,1,0.6818
cb1a2ac6c8,2016-07-22,PORT_CONGESTION,UNKNOWN,7,1,0.7042
e262ab730d,2016-07-26,PORT_CONGESTION,US,9,1,0.9114
4da0cecff5,1469632926000,PORT_CONGESTION,UNKNOWN,6,1,0.6292
fa89d65aca,1469556051000,PORT_CONGESTION,"CN,US,VI",7,1,0.7731
3eb39d63f4,1470067926000,PORT_CONGESTION,"JP,VI",5,1,0.511
2fb3e4ea43,2016-08-02,PORT_CONGESTION,UNKNOWN,5,1,0.5004
ce0deacade,2016-08-02,PORT_CONGESTION,"CN,RU",8,1,0.846
bc0773474d,1470230316000,GEOPOLITICAL,DE,7,1,0.5299
50c9811f59,1470157957000,PORT_CONGESTION,"AU,CN",8,1,0.8921
2731e95de2,2016-08-03,PORT_CONGESTION,"CN,MR",6,1,0.698
5acf7a807e,2016-08-03,PORT_CONGESTION,LK,6,1,0.6873
27c8ec10b6,2016-08-04,PORT_CONGESTION,UNKNOWN,7,1,0.7167
f413152f2f,1470402046000,PORT_CONGESTION,"GB,LK",9,1,0.924
b73cee61d6,2016-08-05,PORT_CONGESTION,"CN,BR,IN,AU,JP",9,1,0.929
32d694c104,2016-08-08,PORT_CONGESTION,"CN,VI",6,1,0.6194
01c9073892,2016-08-10,PORT_CONGESTION,UNKNOWN,7,1,0.7283
6702a2ebf0,2016-08-10,PORT_CONGESTION,UNKNOWN,8,1,0.8687
dc0cbe1eef,2016-08-10,PORT_CONGESTION,"VI,MX",5,1,0.5422
7dffc99ab7,2016-08-11,PORT_CONGESTION,UNKNOWN,7,1,0.73
70589d3f74,2016-08-11,PORT_CONGESTION,NL,5,1,0.5958
18ccf6bd77,2016-08-11,PORT_CONGESTION,"AU,VI,CA,MC,US",5,1,0.5172
d34c8eb948,2016-08-11,PORT_CONGESTION,"VI,US,GH",6,1,0.6673
987dc98933,1470996795000,PORT_CONGESTION,"NL,DE,US",8,1,0.8544
0d4b395324,2016-08-15,PORT_CONGESTION,GB,6,1,0.674
0ecc3778fa,1471365811000,PORT_CONGESTION,US,8,1,0.8425
e9a76b58da,2016-08-16,PORT_CONGESTION,UNKNOWN,5,1,0.5893
892052868e,2016-08-17,PORT_CONGESTION,UNKNOWN,5,1,0.5013
f9fb9381d1,2016-08-17,PORT_CONGESTION,UNKNOWN,5,1,0.5834
0f7f26e321,2016-08-18,PORT_CONGESTION,VI,7,1,0.7924
03dbe5a1ff,1471582788000,PORT_CONGESTION,UNKNOWN,9,1,0.93
60e6cd5c66,2016-08-22,PORT_CONGESTION,UNKNOWN,7,1,0.7219
01baeb77e0,1471943519000,PORT_CONGESTION,"VI,CN,TW,TH,IN,HK,VN,SG,PH",6,1,0.6701
796b26caa4,2016-08-23,PORT_CONGESTION,UNKNOWN,7,1,0.753
